Id;Artist;Title;Producer;KarokeSupplier
10000 ;;( THERE'S) NO GETTIN' OVER ME;CDG;;
10001 ;;(EVERYTHING I DO) I DO IT FOR YOU;CDG;;
10002 ;;(GHOST) RIDERS IN THE SKY;CDG;;
10003 ;;(I JUST) DIED IN YOUR ARMS;CDG;;
10004 ;;(SITTIN' ON) THE DOCK OF THE BAY;CDG;;
10005 ;;(WE WANT) THE SAME THING;CDG;;
10006 ;;(YOU DRIVE ME) CRAZY;CDG;;
10007 ;10 000 MANIACS ;BECAUSE THE NIGHT ;CDG;Soundchoice;
10008 ;10 000 MANIACS ;CANDY EVERYBODY WANTS ;CDG;DKK;
10009 ;10 000 MANIACS ;LIKE THE WEATHER ;CDG;Retro Classics;
10010 ;10 000 MANIACS ;MORE THAN THIS ;CDG;Pop Hits;
10011 ;10 000 MANIACS ;MORE THAN THIS ;CDG;Soundchoice;
10012 ;10 000 MANIACS ;TROUBLE ME ;CDG;Retro Classics;
10013 ;;1001 NACHT;CDG;;
10014 ;10CC ;DREADLOCK HOLIDAY ;CDG;Sunfly;
10015 ;10CC ;DREADLOCK HOLIDAY;CDG;;
10016 ;10CC ;I'M NOT IN LOVE ;CDG;BLU;
10017 ;10CC ;I'M NOT IN LOVE ;CDG;EK;
10018 ;10CC ;I'M NOT IN LOVE ;CDG;Sunfly;
10019 ;10CC ;IM NOT IN LOVE;CDG;;
10020 ;10CC ;RUBBER BULLETS ;CDG;Sunfly;
10021 ;10CC ;RUBBER BULLETS;CDG;;
10022 ;10CC ;THINGS WE DO FOR LOVE ;CDG;Soundchoice;
10023 ;;13 TAGE;CDG;;
10024 ;2 BECOME 1 ;SPICE GIRLS;CDG;;
10025 ;;2 BECOME ONE;CDG;;
10026 ;2 EVISA ;OH LA LA LA ;CDG;Sunfly;
10027 ;2 HEARTS ;KYLIE MINOGUE;CDG;;
10028 ;2 LIVE CREW ;DOO WAH DIDDY ;CDG;Soundchoice;
10029 ;2 LIVE CREW ;ME SO HORNY ;CDG;Soundchoice;
10030 ;2 LIVE CREW ;WE WANT SOME PUSSY ;CDG;Soundchoice;
10031 ;2 PAC ;CALIFORNIA LOVE ;CDG;Sunfly;
10032 ;2 PAC ;THUGZ MANSION ;CDG;Soundchoice;
10033 ;2 PAC ;THUGZ MANSION;CDG;;
10034 ;2 PAC ;UNTIL THE END OF TIME ;CDG;Soundchoice;
10035 ;2 UNLIMITED ;NO LIMITS ;CDG;Sunfly;
10036 ;2 UNLIMITED ;NO LIMITS;CDG;;
10037 ;2. SOMETHING STUPID ;ROBBIE WILLIAMS & NICOLE KIDMANN;CDG;;
10038 ;;20 ZENTIMETER;CDG;;
10039 ;21ST CENTURY GIRLS ;21ST CENTURY GIRLS;CDG;;
10040 ;;2-4-6-8 MOTORWAY;CDG;;
10041 ;3 DOORS DOWN ;AWAY FROM THE SUN ;CDG;CB;
10042 ;3 DOORS DOWN ;BE LIKE THAT ;CDG;Soundchoice;
10043 ;3 DOORS DOWN ;DUCK & RUN ;CDG;Soundchoice;
10044 ;3 DOORS DOWN ;HERE WITHOUT YOU ;CDG;Soundchoice;
10045 ;3 DOORS DOWN ;KRYPTONITE ;CDG;CB;
10046 ;3 DOORS DOWN ;KRYPTONITE ;CDG;DA;
10047 ;3 DOORS DOWN ;KRYPTONITE ;CDG;Soundchoice;
10048 ;3 DOORS DOWN ;KRYPTONITE ;CDG;TOP;
10049 ;3 DOORS DOWN ;LOSER ;CDG;PT;
10050 ;3 DOORS DOWN ;LOSER ;CDG;TOP;
10051 ;3 DOORS DOWN ;THE ROAD I'M ON ;CDG;CB;
10052 ;3 DOORS DOWN ;THE ROAD I'M ON ;CDG;Soundchoice;
10053 ;3 DOORS DOWN ;WHEN I'M GONE ;CDG;CB;
10054 ;3 DOORS DOWN ;WHEN I'M GONE ;CDG;Soundchoice;
10055 ;3 OF HEARTS ;ARIZONA RAIN ;CDG;Soundchoice;
10056 ;3 OF HEARTS ;LOVE IS ENOUGH ;CDG;Soundchoice;
10057 ;30 SECONDS TO MARS ;THE KILL ;CDG;Bury Me (SD;
10058 ;30 SECONDS TO MARS ;THE KILL ;CDG;Bury Me;
10059 ;;300 PS;CDG;;
10060 ;311 ;YOU WOULDN'T BELIEVE ;CDG;Soundchoice;
10061 ;38 SPECIAL ;CAUGHT UP IN YOU ;CDG;Soundchoice;
10062 ;38 SPECIAL ;HOLD ON LOOSELY ;CDG;Soundchoice;
10063 ;3LW ;I DO ;CDG;Wanna Get Close To You (SD;
10064 ;3LW ;NO MORE ;CDG;Baby I'm A Do Right (TOP;
10065 ;3OH!3 FEAT. KATY PERRY ;STARSTRUKK ;CDG;Sunfly;
10066 ;3RD STRIKE ;NO LIGHT ;CDG;Pop Hits;
10067 ;3RD STRIKE ;REDEMPTION ;CDG;Pop Hits;
10068 ;3SL ;TAKE IT EASY ;CDG;Sunfly;
10069 ;3SL ;TAKE IT EASY;CDG;;
10070 ;3T ;ANYTHING ;CDG;Soundchoice;
10071 ;3T ;ANYTHING ;CDG;Sunfly;
10072 ;3T & MICHAEL JACKSON ;WHY ;CDG;Sunfly;
10073 ;;4 NON BLONDES   WHAT'S UP ;CDG;;
10074 ;4 NON BLONDES ;WHAT'S UP ;CDG;EK;
10075 ;4 NON BLONDES ;WHAT'S UP ;CDG;Soundchoice;
10076 ;4 NON BLONDES ;WHAT'S UP ;CDG;Sunfly;
10077 ;4 P.M. ;SUKIYAKI ;CDG;CM;
10078 ;4 RUNNER ;THAT WAS HIM ;CDG;Soundchoice;
10079 ;4 SEASONS ;DAWN ;CDG;Go Away (Soundchoice;
10080 ;42ND STREET ;42ND STREET;CDG;;
10081 ;4HM ;WHERE THERE IS FAITH ;CDG;TOP;
10082 ;4TH FLOOR ;COME TAKE MY HAND ;CDG;MK;
10083 ;5 MAN ELECTRICAL BAND ;SIGNS ;CDG;SP;
10084 ;5 STAIRSTEPS ;OH OH CHILD ;CDG;Soundchoice;
10085 ;50 CENT ;CANDY SHOP ;CDG;Sunfly;
10086 ;50 CENT ;CANDY SHOP;CDG;;
10087 ;50 CENT ;IN DA CLUB ;CDG;EAK;
10088 ;50 CENT ;IN DA CLUB ;CDG;Soundchoice;
10089 ;50 CENT ;IN DA CLUB;CDG;;
10090 ;50 CENT ;JUST A LIL BIT ;CDG;Sunfly;
10091 ;50 CENT ;JUST A LIL BIT;CDG;;
10092 ;50 CENT & JUSTIN TIMBERLAKE & TIMBERLAND ;AYO TECHNOLOGY ;CDG;EK;
10093 ;50 CENT & NATE DOGG ;21 QUESTIONS ;CDG;Soundchoice;
10094 ;;500 MILES;CDG;;
10095 ;59TH ST. BRIDGE SONG ;FEELIN' GROOVE ;CDG;DM;
10096 ;5IVE ;CLOSER TO ME ;CDG;EK;
10097 ;5IVE ;IT'S THE THINGS YOU DO ;CDG;Sunfly;
10098 ;5IVE ;IT'S THE THINGS YOU DO;CDG;;
10099 ;5IVE ;LET'S DANCE ;CDG;Sunfly;
10100 ;5TH DIMENSION ;AQUARIUS ;CDG;BLU;
10101 ;5TH DIMENSION ;AQUARIUS ;CDG;Let The Sunshine In (DKK;
10102 ;5TH DIMENSION ;AQUARIUS ;CDG;Let The Sunshine In (Soundchoice;
10103 ;5TH DIMENSION ;LAST NIGHT I DIDN'T GET TO SLEEP AT ALL ;CDG;Soundchoice;
10104 ;5TH DIMENSION ;ONE LESS BELL TO ANSWER ;CDG;Soundchoice;
10105 ;5TH DIMENSION ;UP UP & AWAY ;CDG;DKK;
10106 ;5TH DIMENSION ;WEDDING BELL BLUES ;CDG;Soundchoice;
10107 ;;7000 RINDER;CDG;;
10108 ;76 TROMBONES  ;MUSIC MAN;CDG;;
10109 ;883 ;NORD SUD OVEST EST ;CDG;Wok;
10110 ;;9 TO 5;CDG;;
10111 ;9. I GOT YOU BABE ;SONNY & CHER;CDG;;
10112 ;911 ;PARTY PEOPLE ;CDG;Friday Night (Sunfly;
10113 ;911 ;PARTY PEOPLE ;CDG;Friday Night;
10114 ;98 DEGREES ;BECAUSE OF YOU ;CDG;Sunfly;
10115 ;98 DEGREES ;BECAUSE OF YOU;CDG;;
10116 ;98 DEGREES ;I DO CHERISH YOU ;CDG;Soundchoice;
10117 ;98 DEGREES ;I DO CHERISH YOU ;CDG;TOP;
10118 ;98 DEGREES ;THE HARDEST THING ;CDG;PS;
10119 ;98 DEGREES ;THE HARDEST THING ;CDG;TOP;
10120 ;;99 RED BALLOONS NENA;CDG;;
10121 ;A BEAUTIFUL LIAR ;BEYONCE & SHAKIRA;CDG;;
10122 ;A BETTER MAN ;ROBBIE WILLIAMS;CDG;;
10123 ;;A BIG HUNK O' LOVE ;CDG;;
10124 ;;A BIG HUNK O' LOVE;CDG;;
10125 ;A BIG HUNK OF LOVE ;ELVIS PRESLEY;CDG;;
10126 ;;A BOY FROM NOWHERE;CDG;;
10127 ;;A BOY NAMED SUE;CDG;;
10128 ;;A BROKEN WING;CDG;;
10129 ;A CHORUS LINE ;ONE ;CDG;1;
10130 ;A CHORUS LINE ;ONE ;CDG;KF;
10131 ;A CHORUS LINE ;WHAT I DID FOR LOVE - ;CDG;;
10132 ;A CHORUS LINE ;WHAT I DID FOR LOVE ;CDG;MM;
10133 ;A CHORUS LINE ;WHAT I DID FOR LOVE ;CDG;PSoundchoiceDG0121-11;
10134 ;A CHORUS LINE ;WHAT I DID FOR LOVE ;CDG;PT;
10135 ;A CHORUS LINE ;WHAT I DID FOR LOVE ;CDG;SW;
10136 ;A CHORUS LINE ;WHAT I DID FOR LOVE ;CDG;wvocal (PSoundchoiceDG0121-03;
10137 ;A CHORUS LINE ;WHAT I DID FOR LOVE;CDG;;
10138 ;;A DAY IN THE LIVE;CDG;;
10139 ;A FLOCK OF SEAGULLS ;WISHING ;CDG;If I Had A Pop HitsotograPop Hits Of You(Sunfly;
10140 ;A FLOCK OF SEAGULLS ;WISHING ;CDG;If I Had A Pop HitsotograPop Hits Of You;
10141 ;;A FOGGY DAY;CDG;;
10142 ;A FOOL IN LOVE ;TINA TURNER;CDG;;
10143 ;;A FOOL SUCH AS I ;CDG;;
10144 ;;A FOOL SUCH AS I;CDG;;
10145 ;;A GLOCK'N;CDG;;
10146 ;;A GOOD HEART;CDG;;
10147 ;A GOOD YEAR FOR THE ROSES ;CHESTNUT;CDG;;
10148 ;;A GROOVY KIND OF LOVE;CDG;;
10149 ;A HA ;LIVING DAYLIGHTS ;CDG;Soundchoice;
10150 ;A HA ;TAKE ON ME ;CDG;MM;
10151 ;A HA ;TAKE ON ME ;CDG;Sunfly;
10152 ;A HA ;TAKE ON ME ;CDG;ZM;
10153 ;A HA ;THE SUN ALWAYS SHINES ON TV ;CDG;Sunfly;
10154 ;;A HARD DAYS NIGHT;CDG;;
10155 ;A KISS TO BUILD A DREAM ON ;ROD STEWART;CDG;;
10156 ;;A KISS TO BUILD A DREAM ON;CDG;;
10157 ;;A KLOANE TÅR ZUM PARADIES;CDG;;
10158 ;A LITTLE BIT MORE ;DR HOOK;CDG;;
10159 ;;A LITTLE BIT OF GREEN;CDG;;
10160 ;;A LITTLE LESS CONVERSATION;CDG;;
10161 ;;A LITTLE PAST LITTLE ROCK;CDG;;
10162 ;;A LITTLE RESPECT;CDG;;
10163 ;;A MAN WIHOUT LOVE;CDG;;
10164 ;A MAN WITHOUT LOVE ;ENGELBERT HUMPERDINCK ;CDG;CB;
10165 ;;A MAN WITHOUT LOVE;CDG;;
10166 ;;A MAN WITHOUT LOVE;CDG;;
10167 ;;A MAN WITHOUT LOVE;CDG;;
10168 ;;A NEW DAY HAS COME;CDG;;
10169 ;A NEW FLAME ;SIMPLY RED;CDG;;
10170 ;;A PIRATE LOOKS AT FORTY;CDG;;
10171 ;;A PUB WITH NO BEER;CDG;;
10172 ;;A REAL GOOD TIME;CDG;;
10173 ;;A REAL MAN;CDG;;
10174 ;A ROCKIN' GOOD WAY (ZOOM) ;SHAKIN STEVENS & BONNIE TYLER;CDG;;
10175 ;;A STEELGUITAR AND A GLASS OF WINE;CDG;;
10176 ;;A TEENAGER IN LOVE;CDG;;
10177 ;;A TEENAGER'S ROMANCE;CDG;;
10178 ;;A TEENAGER'S ROMANCE;CDG;;
10179 ;A TEENS ;BOUNCING OFF THE CEILING ;CDG;Soundchoice;
10180 ;A TEENS ;MAMA MIA ;CDG;Sunfly;
10181 ;A TEENS ;SUPER TROUPER ;CDG;Quack;
10182 ;;A VIEW TO A KILL;CDG;;
10183 ;;A WEI¡ES BLATT'L PAPIER;CDG;;
10184 ;A WHITE SPORT COAT AND A PINK CARNATION ;MARTY ROBBINS;CDG;;
10185 ;;A WHITE SPORT COAT AND A PINK CARNATION;CDG;;
10186 ;;A WHITE SPORT COAT C#-D;CDG;;
10187 ;;A WHITE SPORT COAT;CDG;;
10188 ;A WHITER SHADE OF PALE ;PROCOL HARUM ;CDG;Soundchoice;
10189 ;;A WHOLE NEW WORLD ;CDG;;
10190 ;;A WOMAN IN LOVE;CDG;;
10191 ;A.B.C ;THE LOOK OF LOVE ;CDG;Sunfly;
10192 ;A1 ;EVERYTIME ;CDG;EK;
10193 ;A1 ;LIKE A ROSE;CDG;;
10194 ;A1 ;MAKE IT GOOD;CDG;;
10195 ;A1 ;SUMMERTIME OF OUR LIVES ;CDG;EK;
10196 ;A1 ;SUMMERTIME OF OUR LIVES;CDG;;
10197 ;AALIYAH ;MISS YOU;CDG;;
10198 ;AALIYAH ;MORE THAN A WOMAN;CDG;;
10199 ;AALIYAH ;TRY AGAIN ;CDG;Sunfly;
10200 ;AALIYAH ;TRY AGAIN;CDG;;
10201 ;AALIYAH & TIMBERLAND ;WE NEED A RESOLUTION;CDG;;
10202 ;AALLAYAH ;AT YOUR BEST;CDG;;
10203 ;AARON NEVILLE ;BETCHA BY GOLLY WOW ;CDG;Soundchoice;
10204 ;AARON NEVILLE ;DON'T FALL APART ON ME TONIGHT ;CDG;Soundchoice;
10205 ;AARON NEVILLE ;DON'T TAKE AWAY MY ;CDG;DKK;
10206 ;AARON NEVILLE ;EVERYBODY PLAYS THE FOOL ;CDG;Soundchoice;
10207 ;AARON NEVILLE ;TELL IT LIKE IT IS - 6437;CDG;;
10208 ;AARON NEVILLE ;TELL IT LIKE IT IS ;CDG;Soundchoice;
10209 ;AARON TIPPIN ;ALWAYS WAS ;CDG;Soundchoice;
10210 ;AARON TIPPIN ;EVERTHING I OWN ;CDG;Soundchoice;
10211 ;AARON TIPPIN ;FOR YOU I WILL ;CDG;CB;
10212 ;AARON TIPPIN ;HER ;CDG;CB;
10213 ;AARON TIPPIN ;HER ;CDG;SD;
10214 ;AARON TIPPIN ;HOW'S THE RADIO KNOW ;CDG;Soundchoice;
10215 ;AARON TIPPIN ;I'LL TAKE LOVE OVER MONEY ;CDG;SD;
10216 ;AARON TIPPIN ;I'M LEAVING ;CDG;CB;
10217 ;AARON TIPPIN ;KISS THIS ;CDG;CB;
10218 ;AARON TIPPIN ;KISS THIS ;CDG;Soundchoice;
10219 ;AARON TIPPIN ;THAT'S AS CLOSE AS I'LL GE ;CDG;CB;
10220 ;AARON TIPPIN ;THAT'S WHAT HAPPENS WHEN I HOLD YOU ;CDG;Soundchoice;
10221 ;AARON TIPPIN ;WHAT THIS COUNTRY NEEDS ;CDG;CB;
10222 ;AARON TIPPIN ;WHERE THE STARS & STRIPES & EAGLES FLY ;CDG;Pop Hits;
10223 ;AARON TIPPIN ;WHERE THE STARS AND STRIPES AND ;CDG;TOP;
10224 ;AARON TIPPIN ;WORKING MAN'S PH.D ;CDG;Soundchoice;
10225 ;;AB IN DEN SÅDEN;CDG;;
10226 ;ABACAB ;PHIL COLLINS;CDG;;
10227 ;ABBA ;ANGEL EYES ;CDG;PS;
10228 ;ABBA ;ANGEL EYES ;CDG;PSoundchoiceDG3001-09;
10229 ;ABBA ;ANGEL EYES ;CDG;Sunfly;
10230 ;ABBA ;ANGEL EYES ;CDG;TH;
10231 ;ABBA ;ANGEL EYES ;CDG;wvocal (PSoundchoiceDG3001-01;
10232 ;ABBA ;AS GOOD AS NEW ;CDG;Sunfly;
10233 ;ABBA ;CHIQUITITA ;CDG;MM;
10234 ;ABBA ;CHIQUITITA ;CDG;Sunfly;
10235 ;ABBA ;CHIQUITITA ;CDG;ZM;
10236 ;ABBA ;DANCING QUEEN ;CDG;BLU;
10237 ;ABBA ;DANCING QUEEN ;CDG;DKK;
10238 ;ABBA ;DANCING QUEEN ;CDG;DKKG41-06;
10239 ;ABBA ;DANCING QUEEN ;CDG;PS;
10240 ;ABBA ;DANCING QUEEN ;CDG;PSoundchoiceDG3001-10;
10241 ;ABBA ;DANCING QUEEN ;CDG;Soundchoice;
10242 ;ABBA ;DANCING QUEEN ;CDG;Sunfly;
10243 ;ABBA ;DANCING QUEEN ;CDG;wvocal (PSoundchoiceDG3001-02;
10244 ;ABBA ;DANCING QUEEN ;CDG;;
10245 ;ABBA ;DANCING QUEEN;CDG;;
10246 ;ABBA ;DOES YOUR MOTHER KNOW ;CDG;MM;
10247 ;ABBA ;DOES YOUR MOTHER KNOW ;CDG;Sunfly;
10248 ;ABBA ;FERNANDO ;CDG;MM;
10249 ;ABBA ;FERNANDO ;CDG;PS;
10250 ;ABBA ;FERNANDO ;CDG;PSoundchoiceDG3001-11;
10251 ;ABBA ;FERNANDO ;CDG;Sunfly;
10252 ;ABBA ;FERNANDO ;CDG;TH;
10253 ;ABBA ;FERNANDO ;CDG;wvocal (PSoundchoiceDG3001-03;
10254 ;ABBA ;FERNANDO;CDG;;
10255 ;ABBA ;GIMME GIMME GIMME ;CDG;MM;
10256 ;ABBA ;GIMME GIMME GIMME ;CDG;Sunfly;
10257 ;ABBA ;GIMME GIMME GIMME ;CDG;STW;
10258 ;ABBA ;HAPPY NEW YEAR;CDG;;
10259 ;ABBA ;HAPPY NEW YEARS ;CDG;Sunfly;
10260 ;ABBA ;HEAD OVER HEELS ;CDG;Sunfly;
10261 ;ABBA ;HONEY HONEY ;CDG;Sunfly;
10262 ;ABBA ;I DO I DO I DO ;CDG;MM;
10263 ;ABBA ;I DO I DO I DO ;CDG;Sunfly;
10264 ;ABBA ;I DO I DO I DO ;CDG;TH;
10265 ;ABBA ;I HAVE A DREAM - ;CDG;Sunfly;
10266 ;ABBA ;I HAVE A DREAM ;CDG;MM;
10267 ;ABBA ;I HAVE A DREAM ;CDG;Sunfly;
10268 ;ABBA ;KNOWING ME KNOWING YOU ;CDG;LG;
10269 ;ABBA ;KNOWING ME KNOWING YOU ;CDG;MM;
10270 ;ABBA ;KNOWING ME KNOWING YOU ;CDG;PS;
10271 ;ABBA ;KNOWING ME KNOWING YOU ;CDG;Sunfly;
10272 ;ABBA ;KNOWING ME KNOWING YOU;CDG;;
10273 ;ABBA ;KNOWING ME, KNOWING YOU ;CDG;PSoundchoiceDG3001-12;
10274 ;ABBA ;KNOWING ME, KNOWING YOU ;CDG;wvocal (PSoundchoiceDG3001-04;
10275 ;ABBA ;LAY ALL YOUR LOVE ON ME ;CDG;Sunfly;
10276 ;ABBA ;MAMA MIA;CDG;;
10277 ;ABBA ;MAMMA MIA ;CDG;KF;
10278 ;ABBA ;MAMMA MIA ;CDG;MM;
10279 ;ABBA ;MAMMA MIA ;CDG;Sunfly;
10280 ;ABBA ;MEGAMIX ;CDG;STT;
10281 ;ABBA ;MEGAMIX;CDG;;
10282 ;ABBA ;MONEY MONEY MONEY ;CDG;Sunfly;
10283 ;ABBA ;MONEY MONEY MONEY;CDG;;
10284 ;ABBA ;ONE OF US ;CDG;Sunfly;
10285 ;ABBA ;RING RING ;CDG;Sunfly;
10286 ;ABBA ;ROCK ME ;CDG;Sunfly;
10287 ;ABBA ;SO LONG ;CDG;Sunfly;
10288 ;ABBA ;SOS ;CDG;MM;
10289 ;ABBA ;SOS ;CDG;Sunfly;
10290 ;ABBA ;SUMMER NIGHT CITY ;CDG;Sunfly;
10291 ;ABBA ;SUPER TROOPER ;CDG;Sunfly;
10292 ;ABBA ;SUPER TROOPER ;CDG;TH;
10293 ;ABBA ;SUPER TROOPER;CDG;;
10294 ;ABBA ;SUPER TROUPER - KOPIE;CDG;;
10295 ;ABBA ;SUPER TROUPER ;CDG;MM;
10296 ;ABBA ;SUPER TROUPER ;CDG;PS;
10297 ;ABBA ;SUPER TROUPER ;CDG;PSoundchoiceDG3001-13;
10298 ;ABBA ;SUPER TROUPER ;CDG;wvocal (PSoundchoiceDG3001-05;
10299 ;ABBA ;SUPER TROUPER;CDG;;
10300 ;ABBA ;TAKE A CHANCE ON ME ;CDG;PSoundchoiceDG3001-16;
10301 ;ABBA ;TAKE A CHANCE ON ME ;CDG;Soundchoice;
10302 ;ABBA ;TAKE A CHANCE ON ME ;CDG;wvocal (PSoundchoiceDG3001-08;
10303 ;ABBA ;TAKE A CHANGE ON ME ;CDG;PS;
10304 ;ABBA ;TAKE A CHANGE ON ME ;CDG;Sunfly;
10305 ;ABBA ;THANK ABBA FOR THE MUSIC ;CDG;Sunfly;
10306 ;ABBA ;THANK YOU FOR THE MUSIC ;CDG;MM;
10307 ;ABBA ;THANK YOU FOR THE MUSIC ;CDG;Sunfly;
10308 ;ABBA ;THANK YOU FOR THE MUSIC;CDG;;
10309 ;ABBA ;THE DAY BEFORE YOU CAME ;CDG;Sunfly;
10310 ;ABBA ;THE NAME OF THE GAME ;CDG;MM;
10311 ;ABBA ;THE NAME OF THE GAME ;CDG;Sunfly;
10312 ;ABBA ;THE WINNER TAKES IT ALL ;CDG;PS;
10313 ;ABBA ;THE WINNER TAKES IT ALL ;CDG;PSoundchoiceDG3001-14;
10314 ;ABBA ;THE WINNER TAKES IT ALL ;CDG;Sunfly;
10315 ;ABBA ;THE WINNER TAKES IT ALL ;CDG;TH;
10316 ;ABBA ;THE WINNER TAKES IT ALL ;CDG;wvocal (PSoundchoiceDG3001-06;
10317 ;ABBA ;THE WINNER TAKES IT ALL;CDG;;
10318 ;ABBA ;VOULEZ VOUS ;CDG;Sunfly;
10319 ;ABBA ;WATERLOO ;CDG;DKK;
10320 ;ABBA ;WATERLOO ;CDG;DKKG41-07;
10321 ;ABBA ;WATERLOO ;CDG;EK;
10322 ;ABBA ;WATERLOO ;CDG;MM;
10323 ;ABBA ;WATERLOO ;CDG;PS;
10324 ;ABBA ;WATERLOO ;CDG;PSoundchoiceDG3001-15;
10325 ;ABBA ;WATERLOO ;CDG;Sunfly;
10326 ;ABBA ;WATERLOO ;CDG;wvocal (PSoundchoiceDG3001-07;
10327 ;ABBA ;WATERLOO;CDG;;
10328 ;ABBA ;WINNER TAKES IT ALL;CDG;;
10329 ;;ABBA_KNOWING_ME__KNOWING_YO;CDG;;
10330 ;ABC ;POISON ARROW ;CDG;Soundchoice;
10331 ;ABC ;THE JACKSON FIVE ;CDG;Duet;
10332 ;ABC ;THE LOOK OF LOVE ;CDG;Soundchoice;
10333 ;ABC ;THE LOOK OF LOVE;CDG;;
10334 ;;ABER BITTE MIT SAHNE;CDG;;
10335 ;;ABER DICH GIBT'S NUR EINMAL FÅR MICH ;CDG;;
10336 ;;ABER DICH GIBTS NUR EINMAL FUER MICH;CDG;;
10337 ;;ABER DICH GIBT'S NUR EINMAL FÅR MICH;CDG;;
10338 ;;ABOUT YOU NOW-EKI-14-2-SUGABABES;CDG;;
10339 ;;ABRAZAME;CDG;;
10340 ;ABS ;LITTLE MISS PERFECT ;CDG;Sunfly;
10341 ;;ABSCHIED IST EIN SCHARFES SCHWERT;CDG;;
10342 ;ABSCHIED VOM LIEBHARTSTAL ;ADI HIRNSCHALL;CDG;;
10343 ;;ABSCHIED VOM LIEBHARTSTAL;CDG;;
10344 ;AC DC ;BACK IN BLACK ;CDG;Soundchoice;
10345 ;AC DC ;BIG BALLS ;CDG;Soundchoice;
10346 ;AC DC ;BIG GUN ;CDG;NT;
10347 ;AC DC ;DIRTY DEEDS DONE DIRT CHEAP ;CDG;Soundchoice;
10348 ;AC DC ;FOR THOSE ABOUT TO ROCK ;CDG;We Salute You (Sunfly;
10349 ;AC DC ;GIRLS GOT RHYTHM ;CDG;Soundchoice;
10350 ;AC DC ;HARD AS A ROCK ;CDG;Soundchoice;
10351 ;AC DC ;HAVE A DRINK ON ME ;CDG;Soundchoice;
10352 ;AC DC ;HELLS BELLS ;CDG;AH;
10353 ;AC DC ;HELLS BELLS ;CDG;Soundchoice;
10354 ;AC DC ;HIGHWAY TO HELL ;CDG;Soundchoice;
10355 ;AC DC ;MONEYTALKS ;CDG;Soundchoice;
10356 ;AC DC ;ROCK & ROLL AIN'T NOISE POLLUTION ;CDG;Soundchoice;
10357 ;AC DC ;SAFE IN NEW YORK CITY ;CDG;Soundchoice;
10358 ;AC DC ;SHOOK ME ALL NIGHT LONG ;CDG;Soundchoice;
10359 ;AC DC ;SIN CITY ;CDG;Soundchoice;
10360 ;AC DC ;SINK THE PINK ;CDG;Soundchoice;
10361 ;AC DC ;STIFF UPPER LIP ;CDG;Soundchoice;
10362 ;AC DC ;STIFF UPPER LIP ;CDG;Sunfly;
10363 ;AC DC ;THUNDERSTRUCK ;CDG;Soundchoice;
10364 ;AC DC ;TNT ;CDG;Soundchoice;
10365 ;AC DC ;WHO MADE WHO ;CDG;Soundchoice;
10366 ;AC DC ;WHOLE LOTTA ROSIE ;CDG;Soundchoice;
10367 ;AC DC ;YOU SHOOK ME ALL NIGHT LONG ;CDG;CB;
10368 ;AC DC ;YOU SHOOK ME ALL NIGHT LONG ;CDG;Soundchoice;
10369 ;ACDC ;HIGHWAY TO HELL;CDG;;
10370 ;ACE ;HOW LONG ;CDG;Soundchoice;
10371 ;ACE ;HOW LONG ;CDG;Sunfly;
10372 ;ACE ;HOW LONG;CDG;;
10373 ;ACE FREHLEY ;NEW YORK GROOVE ;CDG;Soundchoice;
10374 ;ACE OF BASE ;ALL THAT SHE WANTS ;CDG;EK;
10375 ;ACE OF BASE ;ALL THAT SHE WANTS ;CDG;Soundchoice;
10376 ;ACE OF BASE ;ALL THAT SHE WANTS ;CDG;Sunfly;
10377 ;ACE OF BASE ;ALL THAT SHE WANTS ;CDG;TT;
10378 ;ACE OF BASE ;ALL THAT SHE WANTS;CDG;;
10379 ;ACE OF BASE ;ALWAYS HAVE ALWAYS WILL ;CDG;EK;
10380 ;ACE OF BASE ;BEAUTIFUL LIFE ;CDG;MK;
10381 ;ACE OF BASE ;BEAUTIFUL LIFE ;CDG;Soundchoice;
10382 ;ACE OF BASE ;BEAUTIFUL LIFE ;CDG;Sunfly;
10383 ;ACE OF BASE ;BEAUTIFUL LIFE ;CDG;SW;
10384 ;ACE OF BASE ;BEAUTIFUL LIFE;CDG;;
10385 ;ACE OF BASE ;CRUEL SUMMER ;CDG;EK;
10386 ;ACE OF BASE ;CRUEL SUMMER ;CDG;Pop Hits;
10387 ;ACE OF BASE ;DON'T TURN AROUND ;CDG;MK;
10388 ;ACE OF BASE ;DON'T TURN AROUND ;CDG;Soundchoice;
10389 ;ACE OF BASE ;DON'T TURN AROUND ;CDG;Sunfly;
10390 ;ACE OF BASE ;DON'T TURN AROUND;CDG;;
10391 ;ACE OF BASE ;EVERY TIME IT RAINS ;CDG;Sunfly;
10392 ;ACE OF BASE ;LIFE IS A FLOWER ;CDG;EK;
10393 ;ACE OF BASE ;LIFE IS A FLOWER ;CDG;Sunfly;
10394 ;ACE OF BASE ;LIFE IS A FLOWER;CDG;;
10395 ;ACE OF BASE ;LIVING IN DANGER ;CDG;Sunfly;
10396 ;ACE OF BASE ;LIVING IN DANGER;CDG;;
10397 ;ACE OF BASE ;LUCKY LOVE ;CDG;Soundchoice;
10398 ;ACE OF BASE ;SIGN;CDG;;
10399 ;ACE OF BASE ;THE SIGN ;CDG;CB;
10400 ;ACE OF BASE ;THE SIGN ;CDG;Soundchoice;
